,mean,mean,len,len
sex,Female,Male,Female,Male
education,,,,
10th,0.010169491525423728,0.09247648902821316,295,638
11th,0.018518518518518517,0.06998654104979811,432,743
12th,0.027777777777777776,0.10034602076124567,144,289
1st-4th,0.0,0.04918032786885246,46,122
5th-6th,0.023809523809523808,0.05622489959839357,84,249
7th-8th,0.00625,0.08024691358024691,160,486
9th,0.034722222222222224,0.05945945945945946,144,370
Assoc-acdm,0.1330166270783848,0.3235294117647059,421,646
Assoc-voc,0.134,0.3333333333333333,500,882
Bachelors,0.20938851142680667,0.5037473233404711,1619,3736
Doctorate,0.5813953488372093,0.7828746177370031,86,327
HS-grad,0.06666666666666667,0.20376880888763887,3390,7111
Masters,0.333955223880597,0.6571187868576243,536,1187
Preschool,0.0,0.0,16,35
Prof-school,0.45652173913043476,0.7871900826446281,92,484
Some-college,0.07020669992872416,0.2653288740245262,2806,4485
